sentiment,tweet
Negative,been having a terrible headache 
Negative,@sugree will ask @jingjun to provide one. BUT ADSL not working today due to yesterday lightning.  find solution.
Negative,The Secret to getting followers? Having friends in real life! Dammit i Quit 
Negative,"Last day of my jollys  I have Sophie Dahl, Alan Bennett and a drenching of sunshine to cheer me up! I won't miss twitterberry either."
Negative,bed i guess. . .work tomorrow!!! 
Negative,"@g33kgurrl Man, I hate that. Arghhh.  I was trying to do a demo yesterday and damn NW cable keep coming loose whenever I moved the mouse. "
Negative,everyone is being very loud in my house...... 
Negative,i want to go get my nails done reary bad  and I want those speakers... and a friend plz
Negative,I hate being alone all by myself 
Negative,Wow it's definitely Friday- the gym is completely empty! What to do? I'd like to play the wii but I guess I'll vacuum 
Negative,"ugh. classes start tomorrow. two classes, one each day, monday through thursday, 2.5 hours each day. boo. "
Negative,@mainelife oooh-OW! Nice shiner.... 
Negative,so much for my productive day waking up sick is no fun 
Negative,I love Rodger but I'm starting to love  Del Potro !!!!  AAAAAAAAAAAAAA it's a great game !!! sucks I'm just listening and not watching!! 
Negative,"cant believe i have a cold,, right before netball starts up  misses everyone already. one more week of school holi's. see everyone soon x"
Negative,@HansenSoapCo I'd love to - but tomorrow I have lots of appointments this weekend with contractors 
Negative,@juicystar007 be safe girlie i just had a bunch of bad weather hit my house in the last 2 hours! 
Negative,http://twitpic.com/88ceg - stuck outside publix w/a cart full of groceries &amp; no umbrella 
Negative,"Hot and smelly bus, public lavatory travel! "
Negative,@spiller2 oh ballsâ¦well that sucks 
Negative,I am just about to head to bed! Got work tomorrow. 
Negative,i really let this nigga get to me. im sittin up here takin shots.smh thats not like me  i gotta get my &quot;fuck niggaz&quot; attitude back!
Negative,@vmprfreak 
Negative,Couldnt make it to service  -Poex2
Negative,Ungh!  Replacing my bikes battery took more work than I thought. And it's hot out and I can't find my riding shirt 
Negative,@AmyPredsfan I am on gravity but is slow and overload twitter 
Negative,Mac os x installation fail! Unable to set up wireless  now I'll have to reinstall windows again urgh!
Negative,I may go home for a few days. I'm homesick. 
Negative,On my way to the Dr's office running late. I hate being late 
Negative,@gavin_dunce  i hate summer hours... by the time i get in today your already out that bitch! 
Negative,@billsimpson19 another 2 hours 
Negative,@katellora I can't even get my usual sunday lazy day as I have to work it 
Negative,@Accessoryamy  Clean Me!
Negative,"@Ottimisvico Nuts!!  ...and unfortunately, it's usually too hard to hide because of the smell   Ah well, there's always chocolate "
Negative,Photo: clarreal: Same thing here Clar. Itï¿½s hard to look for back issues of Teen Vogue.  http://tumblr.com/xxq1wmw2y
Negative,I want a job I enjoy 
Negative,Hard drive croaked &amp; even DiskWarrior can't save it  Fortunately it's under warranty &amp; I have a backup. Not sure if apps are backed u ...
Negative,"@jeanandyj True, but I have class M-W-F...then gotta get some zzzz's...so Richmond's gonna be a no go for Friday...sorry girl "
Negative,I broke my effing toe.  .. That's what I get for trying to do &quot;cardio!&quot;
Negative,@waxkrayon arson != burning morning toast... 
Negative,just dropped my baby off @ the airport 
Negative,@lorib709 sorry you aren't feeling well! 
Negative,.... crap.   I'm sick.  Cubs in 2 days.  
Negative,@UROSTARSTRUCK  I TRIED!! U CAME SUPER LATE!! WHAT HAPPEND?? AGGGG MAN! @ITSLOS IM SORRY!
Negative,@LinuxWeather My PHP is pretty rusty. All I've done is tweak some Wordpress lately. 
Negative,is back in Tucson now.  had an awesome time at the Game even though Atlanta lost  gonna chill and see what else were gonna do this evening
Negative,@iRock_88 I Dont mind different. Im a music head.  But i just hope it moves me.  Music is not moving me lately.  
Negative,bout to go into work 
Negative,I kind of wish I had my 360 right now. I think I'm too tired to play anything at this time though. 
Negative,@NolaGets awwww poor baby  Well aleast u learned ur lesson lol
Negative,@purplelime still resting and relaxing. Very tired at the moment tho! 
Negative,Stranded in Newark 'til 11:30 - good times 
Negative,set the alarm for 7.30am .. woke up at 11  now got exactly 24 hours until the exam..   hmmm 
Negative,My battle bar still won't work no matter what I do. About to uninstall again and give up. 
Negative,back to school 6am wake up 
Negative,OMG it really is far too hot to be cycling anywhere 
Negative,I'm hungry and I want IHOP now!  Bullfuck!
Negative,@stoner_stuff Heyyyy I made cupcakes last night! Unfortunately they weren't &quot;specially baked&quot; 
Negative,Good morning everyone... Driving my parents to the airport 
Negative,will be at the reds game 2nite!!!!! sucks it wont be the civil rights game  but it'll be a blast!!!!
Negative,@musicsinmyveins i better not tease you the &quot;BF&quot; might get paranoid 
Negative,Most depressing thing I've read in a long time  http://bit.ly/qJk0N
Negative,Katy's new ipod is broke 
Negative,time is going by way too quickly. only 3 days left at camp!?!? 
Negative,@Annakajima I can't see that as you have to be logged in 
Negative,@JudoKickJessie i wanna go too!!!! too bad i have to work 
Negative,Drinking alone at your parents house is no fun. 
Negative,the only one in the back office today...  everyone is at camp.
Negative,Is there such thing as over studying? Sometimes I'd study like 8 hours but I'd get a crappy mark. It's not fair  (via #zenjar )
Negative,Really hungry today  bread and butter did not meat usual lunchtime standards!
Negative,@iNISHA_ my heart is broken  can u bring my sister back please and THANK you idk who u r!!!!!
Negative,Callie the bitch has arrived on twitter!!!!!!!!!  x
Negative,@yummyzwatchingu Yummy!!! Me sry...  how are ya buddy?????
Negative,@iAmCWise go to arclight at da galleria in sherman oaks. they got tix. i was gon go at 10 but i got lazy 
Negative,@JonsTubeGirl go onto my flickr...did i ever fix the contacts and all that to give you access? i forget 
Negative,is awake 
Negative,So restless. Ive been laying here for 2 hours and cant sleep. Do you know how much that can add to a girls stress load? 
Negative,"in keeping with brit tradition, have wandered round in the sun all day and now Im burnt red like a lobster, what a plonker "
Negative,"goodnight Fellow Tweeters...  get ready for, yet another, Monday  "
Negative,"@KarinaGarcia,so you drinking all these good types of milk,and could tweet me about it?lol "
Negative,@mrs550 yea 
Negative,"@DefaultProphet  the real bummer is that she was at Bear's last concert, on the 13th, and I couldn't go .. "
Negative,Can't believe I'm at the movies for the third time in the past week lol lame. Ps hi.  miss you
Negative,think I'm getting sick. fuck. I have the worst timing in such things 
Negative,"redisigning myself... work, no presentation, gym @ night, no boyfriend tonite!!! "
Negative,@felttipben It's tempting but I have too many bits of paper/books  A more straightforward subject would be much more park friendly...
Negative,Too many assignments 
Negative,"@lukieebro come on tw?tter b?tch!  ?'m sorry for everyth?ng baby. ? do need you, ? don't love you as much as logan, you know that."
Negative,"8am class?  uggggh. Ok, just ONE more week!"
Negative,@temptingmama bad news. No Chick Fil A in Chicago. I wanted to try it! 
Negative,re-downloading Adium to see if after that i can log in 
Negative,"I am in such a good mood right meow!! super excited for summer, gotta get thru hell week though "
Negative,This Arizona hell weather is so uncalled for 
Negative,Got a headache. Takin a nap. 
Negative,"pens, you disappointed me tonight. "
Negative,"Damn you, right shoulder, stop hurting. The pain is making me nauseous. "
Negative,movin on to frenchhh 
Negative,I hate being bored on Friday nites   Especially bored and lonely with New Hair :-/
Negative,Monday.... Lucky me.  
Negative,So sad about Farrah Fawcett...my thoughts are with her family. 
Negative,@luveysun I only have 220 
Negative,I tryed to get me a iPhone ....................  did'nt work  grrrrrrrrrrrrrrr     
Negative,no one is online 
Negative,@janeylicious Boo. I still have 28 hours left. 
Negative,lame i really wanted to see selena gomez:/ to bad shes leaving van 
Negative,@incaseyoucare Its weird.  I just have no appetite whatsoever. I force myself to eat a little. My pants are all too big now. 
Negative,beep test sucks 
Negative,@AislynnHess No it doesn't. OOC: I have to be up early tomorrow so I'm afraid I'll have to go  sorry
Negative,missed the day out with highschool loves. SAD! 
Negative,woman in the 'Chase' parking lot gave me a cold look even though i gave her space to backup her car. she has bad craft 
Negative,I am SOOOO excited about the New Moon trailer! But I have to wait until tomorrow to see it  It'll be too late here...
Negative,"@drealoveslife i miss you already! so sad that i didn't see you after the show anymore.  it was amazing, how close to the stage were you?"
Negative,@gervaist gasp! you tooooootally went without me? boo!  did ya see the banner i designed? 
Negative,awwww I want the puppy back 
Negative,started my workweek back... im already ready for days off 
Negative,juz upgraded my hp software! im wayyyyy behind. but everything is resetted and now ive gotta put in everything in again 
Negative,uh oh. my face feels a bit feverish. took my temp &amp; right now it's 98.9. hoping real hard that it stays LOW! can't afford to be sick now 
Negative,TweetDock doesn't let me to send any new tweets. Each time I press send its crashing. It needs update guys. Sent from twitterific 
Negative,@thisisryanross hopefully not swine flu! 
Negative,The weather here in sunny Glasgow is pure wet 
Negative,agh. pray for my roommate still. 
Negative,"@MorganClohesy wow, morgan said fuck...it must be bad "
Negative,Heading to return the rental car.  End of vacation 
Negative,...im over it. Ugh. I never WIN. At anything. Who else feels like that? 
Negative,on the grind with no time on my hands... im so sleeeepy 
Negative,Thk god it's Friday...sore throat tht won't go away 
Negative,@BeaWise  Can't get back to what? Mobile Twitter?
Negative,EVERYONE VOTE FOR MILEY CYRUS FOR THE MTV MOVIE AWARDS BECAUSE I CAN'T THAT DOE'T WORK AT ME I'M #FRUSTRADED :@ 
Negative,has got 20 stitches 
Negative,"@OMARDLV Hey PaPa....where were u??? I take it the Cavs lost   we had a GREAT night, wish u couldve made it!"
Negative,"@guapomole Good Morning. I am now sad, as well. I was looking forward to some good pics "
Negative,no more getaway plan  so not keen for work. happy birthdayyy @kateske
Negative,counting burises on my leges 
Negative,"Just tried to write @jeffreecuntstar a letter to give him at Warped, but I got all emotional. Now I'm kinda sad "
Negative,Heading to work on a bank holiday is no fun at all 
Negative,"aww, i'm not eligible for the $900 tax bonus "
Negative,church. Amber's last kid jam  last last one for the season though.  season
Negative,my darlinÂ´s sad  and i feel fucked up  i miss him sooooooooooo bad ...BABY I love You
Negative,@Missannisaalyia awww im sorry i so that lol but my phone is horibble  do u hate me??
Negative,fudgey poo. not happy 
Negative,i left my phone in ambers car in a sleepy daze early this morning. i regress. 
Negative,scrached my eye... not a good start to my day 
Negative,"With that said, it wouldn't hurt anyone to listen to ani's &quot;To the Teeth&quot; (Brief spoken intro before song)  #... â« http://blip.fm/~7p0ny"
Negative,My hands are all peel-y and unhappy from dicing up a jalapeno tonight. I think that merits a frowny face:  
Negative,feels like a alcoholic drink.  But can't do it on a school night. 
Negative,Begged the apple store people to let me in today (new iphone bull... psh...) and got a real expensive new plug for my computer. 
Negative,Last day in melbourne. 
Negative,@Abdoanmes....i got this one... y was 6 afraid of 7? - bcuz 7 ate 9....mystery solved thanks to sesame street jokes! sorry for your loss  
Negative,"My god my feet, walked for 10 mins in my new glads and my heels are cut off me! Plasters please "
Negative,Falling asleep very slowly lol....still aching 
Negative,"Was going to see an Aaron Sorkin play today but I have too much to do at home, will have to miss the show and eat the ticket costs. "
Negative,ok so young dean is kind of fugly compared to jensen. 
Negative,7:36 pm here in new orleans....thawt i'd be home by now  i dont even get paid for this 10hr shift i'm doing..not kool dad..not kool!
Negative,@backstreetboys http://twitpic.com/6hjhg - Miss you... Rally  From Argentina
Negative,I Just can't stand Italian people anymore.. I'm not supouse to say that but. whatever! I miss Americans!! 
Negative,Things went well today! Mike is home from India! He's sleeping right now and has a cold 
Negative,i dont want to leave Kenya! I like it here too muchh 
Negative,@ManyFaced_Nitro looks like you're backing the winners just now 
Negative,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. 
Negative,Something is surely not right here 
Negative,Wow. I actually got myself tickets to a cricket match. England vs WI. 2nd ODI. What does that mean? I have no one to go with. 
Negative,"@laulau88 i miss him too, well the old george... and now with TR leave it's gonna be awful!! i don't think i'll like S6 "
Negative,old twitter account got deletedd 
Negative,"@stumantru I have no idea who Becky Granger is, but I love that. I am off to Youtube it.. Barrowman sold out, I am gutted "
Negative,Hubby bought me a bike tonight. Went for a midnight ride up and down our street. Very fun but am now quite sore. 
Negative,@W_i_l_l_i_e_G  - Sorry man.. I'm one of the sufferers.. I could blow it once every 20 seconds and it would still be runny.  Miserable. 
Negative,@BobbyTML  you sadden me.  P.s id have replied early but im in no service land jsyk
Negative,@annaShantay lmao! sissy  what are you doing tomorrow me and you lets hanggg.
Negative,@HopelessGypsy Well that sucks.  sorry dude.
Negative,wondering why life is so stressful right now 
Negative,"@lanafromoz damnit, wish I had Foxtel! I can't watch it "
Negative,is so not ready for tomorrow  [g]
Negative,@BAYBAYBAYvh1 mmaking me jealous bay bay bay i wanted to be ur future husband 
Negative,have  a wonderful weekend everyone!! i'll send some tweets over the weekend but unfortunately i can't see any of your tweets  later all!
Negative,"another graduation today, they're all leaving. such a bittersweet moment  .."
Negative,Me is tired! 
Negative,I give i cant make anyone happy with out hurting them 
Negative,Totally spaced on Mayhem show tonight and stayed home and baked cookies instead. Euronymous would not be proud  http://twitpic.com/6ihpr
Negative,@saragarth lmfao better save me sum  as not fair i cant race to get there haha
Negative,"I'm changing my eating habits with the plan from @brookeburke.  Not too bad, but have headache from no caffiene "
Negative,"Grr Im cravin a cuddle off jake  i love that boy, dont want him to grow up...ever. In bed now-niiight x"
Negative,This movie is so depressing ... 
Negative,"@sleepwelldarlin I wrecked down like the biggest hill in Taft, going so fast "
Negative,loong day..... no hot water so have to sit here and smell  lol
Negative,@DaWoman504 Why am I not in the car I was some peppers too? 
Negative,Had to restart my computer 10 times today 
Negative,@TheBellaShow i commented TWICE!!!! you didnt approve 
Negative,is gonna miss the match tonight 
Negative,"suspects she has colic..... unfortunatly out of buscopan for the cramps, so I'll have to make do with curling up under a blankie! "
Negative,Back to work 
Negative,deadlines wed. eugh I was in a rush for nooothing 
Negative,Sitting in class ... 
Negative,Everything around reminds me of you 
Negative,you people make me sad  #unfollowfriday
Negative,@blackenedsky guessed as much. yeah almost as confused as i get when i can't figure out why my cat won't answer me 
Negative,@Royal_Flyness  sorry re: ur phone. Never a good feeling. Esp on vacay (happened 2 me)
Negative,@alineJcardozo I'm sorry please forgive me 
Negative,At court 
Negative,"k so i changed the whole look of my page. . . . . . but i dont like it, oh well "
Negative,"Paperwork, sick cats, and no AC...it's gonna be a long night.  "
Negative,Ashes was so sad  i cried
Negative,"@The_Leedog SWORE!: R.I.P. Schecter bass....  if it didn't fuck up, this wouldn't have happened."
Negative,"@valiiance: @deewags' laptop (3GB RAM, solid vid card, made to run CS4) sucks with Hulu.com. Eager to try Hulu Desktop, but not hopeful. "
Negative,getting ready for work. 
Negative,Uuhg its so gross out todayy 
Negative,On the plane about to take off! Please turn off all unapproved electrical devices.. 
Negative,enough FB...I'm bored.  
Negative,"@cupcakesfortwo no pain to really be the issue though, there's the thing.. can't figure it out... "
Negative,Oh 2 grand weren't too good tonight  Agree with what Simon just said. They won't won but at least they got this far! ;) x
Negative,ugh idk if i can read more of order of the phoenix. everyone is so mean to molly  harry is emo 
Negative,Leaving for work now.. just 7 longs hours before I can be in my bed again. bad times 
Negative,Exhausting first day at work after a few days vacation. Spent most of the day answering emails and didn't even look at code today. 
Negative,Feeling a bit better but tomorrow's definitely gonna be hard. ...if you read my last LJ entry then you know why. 
Negative,internet at work is slow... sadly this is somewhat commonplace 
Negative,History Exam in 9 hours!!! Wish I could get to sleep! It's so hot... 
Negative,@Mag3500 Wish I could have been there 
Negative,I'm annoyed - its really windy and I'm stuck in London working 
Negative,"@stephanie_x33 Hope you had an amazing 21st Steph, I'm sorry I couldn't make it   I love ya girly!"
Negative,"Off to see star trek, no nerdy tshirt to wear though "
Negative,@DrJay202 
Negative,@donlemoncnn Don there were so many people who died like Neda today..they will be remembered. 
Negative,"ow, I don't think that bagel is agreeing with me "
Negative,"Yes, it means that we won't be able to tweet anymore  well we will when I get my phone back I guess? @SuzanneHeleneV"
Negative,@DarinSteen Wish I was there 
Negative,@natashacairns  il be leaving soon.. and i have such a tummy ache  lol maybe filling it with food is now not a gd idea
Negative,@ GCS waiting as usual 
Negative,my mom is mad at me AGAIN 
Negative,@trigger_101 I think I'd prefer to be revising. I'm reconciling a bank statement 
Negative,@kevinprince I couldn't buy any '#openhacklondon' for you because you can't even afford one   Woe!
Negative,"@taltalita asik ya tal ya? aduh, gue kangen banget nih sama the click five "
Negative,@mack005 Using an N73... HTC Touch Diamond is the target. But hard to raise the money 
Negative,Is stressed out for some odd reason! 
Negative,@patheticfool she better not 
Negative,Just put in my 6gs. Hopefully it will be for a whole week this time 
Negative,i fear the spaceship is not long for this earth. it just stranded me and edwin on the highway. there was smoke 
Negative,"@MetalGeorge   Sounds like Tinnitus, caught early it's treatable, alas mine is too far gone  18 years of loud music has taken it's toll!"
Negative,@livnb yeas its very sad.. i wont get it till i get back  also what does ttow mean?
Negative,"So I may not really be around. So don't fret, nothing to do with the bump, it just means I won't have any real access until DH gets home. "
Negative,@AnoopDoggDesai their not coming to NY  !
Negative,Please don't let Susan Boyle win.  C'mon Diversity!
Negative,"@tommcfly hey tom, i'm happy that you're enjoying brazil, but i'm sad cuz i'm not goin to see you in your show "
Negative,"Is listening to steer clear, god do i miss them "
Negative,TTP make me stresso.. nyebelin ahh! udh cape2 juga.. 
Negative,@bbysoso call em i dont got ma auntiez #  im sad now
Negative,Watching &quot;He's just not that into you&quot; and wishing the world wasn't so big and that he wasn't so far! 
Negative,"Jesus...I'm being SLAMMED via DM's from the Papaya lobbyists.  OK. Holy crap: Mangosteen, Durian or Papaya...or cybersecurity on a stick. "
Negative,#Oracle buying Sun. NOT GOOD NEWS for the openess of #Java platform 
Negative,i am doing rice..but .. i think it sucks 
Negative,@barcodeguy i don't think there is a search. i wish there was 
Negative,"Didn't really want June to come. The Month of Doom. Get my degree results this wk, Grad Ball next wk and the end of an era the day after. "
Negative,@loveinstere0 not yet   but i got a lot of &quot;seconded!&quot;s.  i have no idea!  is it arashi?  k8?
Negative,@52stations I wish they'd ship to the UK 
Negative,Twitah is shizzit 2nite erryone is at tha DRIZZY DRAKE concert  Im SOO jelouse hahaha
Negative,Jonas Brothers YouTube Account suspended 
Negative,"@paulshadwell But just goes to show Swisscom were full of shit when they tried to blame Apple for their 12 month pricing, FULL price. "
Negative,@KaitlinBrenna  that's how I've been. friday I felt pretty good. then yesterday I felt like poop again and today? WORSE. wtf man.
Negative,"Yeah I'm in my 8am, but my computer is about to die "
Negative,"@Childhood  mine is missing, my toddler hauled off with it somewhere"
Negative,What the hell is going on downtown??? It's madness!!!  Guess no pita pit for me 
Negative,Sitting in the parking lot of work not wanting to go in 
Negative,off to work  it's too nice a day for work. Anyone up for some frisbee after 4 ? Jack brown has my phone so just use twitter to contact me.
Negative,is sick as hell and has absolutely nothing to do. 
Negative,@_Cel_ That's strange  I know the new MSN is a shit and sometimes never connects 
Negative,I wont be seeing my mother for another week  cause i wont be good when she returns 
Negative,Bed finallly! wish the pain in my leg would go away 
Negative,@Flyestoncampus U chose not to b my Hubby nemore! 
Negative,Already missed this.  http://www.howconference.com/freelancesessions/
Negative,800 words and counting. Wish I had a limit to go to. It just goes on and on 
Negative,@Jonasbrothers why does everyone get it before the USA? 
Negative,Im sad now  I should be on my way to NC rite now
Negative,@eviliciouz I've only been there once 
Negative,@animallife Ugh that's horrible. Why would they wanna kill them?! Wolves are so beautiful. I  dont get what motivates these people. 
Negative,@tommcfly toooooom don't go 
Negative,should be on her way to italy right now.... but isn't 
Negative,@utbrp No Bachmann in Psycho Talk 
Negative,AHHHHHHHHHHHHHHHHH! I just spent 40mins editing this video and my laptop froze. DAMN DAMN DAMNNNN! Blessings 
Negative,"Talk of closing 220 state parks  I should get to Angel Island. It's on the list, and that will mean 0 public access to the island."
Negative,toothache isn't much fun 
Negative,"@MissDomo  don't hate twitter. it jus has problems sometimes, lol.The only mobile updates I get are jus' if someone sends me a direct msg"
Negative,"@cleavel thanks, Cleave.   But NO interview. "
Negative,Will you guy's keep voting for her and ask u'r followers to help to. Only 4days left before competitions close. 
Negative,What the heck! The vending machine @ work stole my 75 cents ... what a waste of good change! 
Negative,At the airport. Sad this vacation is just about over 
Negative,"graduation was amazing...I will miss both jordans, antonio, and john "
Negative,Aww sick for the long weekend  well this sucks
Negative,sick  can't wait to go back to my room and sleeeeep.
Negative,missed 11:11 for the first time in ages 
Negative,"Really bad weather today, rain,thunder and lightning how bad could it be.! "
Negative,"@jillhanner Wish it was here,..I'm melting!! "
Negative,back at the office today. 
Negative,my tummy hurts so bad right now 
Negative,listenin to leona lewis ..she rocks! omg today was the last day of skool im sad 
Negative,@BIGGC_ Awww thanks!!! Have a hug...actually dont..I have germs    Will do and I owe you! (IOU)!!
Negative,is really really bored at colelge and has Richards jacket on cos its cold  but its hardto type with it on as its longer than my arms hehe
Negative,@elzibelz i need a B in it  yeeeah im not gonna start revish for it until after deutsch. but im not sure if im bothered? :|
Negative,yo confieso que no se  bailar 
Negative,singfest is gonna be cancelled? true or false? 
Negative,At work. Boring day ahead 
Negative,@GoldenTwittie so am I! &amp; I'm feeling sick 2day 
Negative,@audreyjane16 That is HONESTLY AMAZING. I'm craving for change.  Hope you get your wish best friend!
Negative,hates the fact that twitter wont upload my pics? i clikc save &amp; nothing happens! grrrrr   
Negative,@terri5me2000 yes it looks like it may be news only posts 
Negative,its so fucking cold out here @janellebustjaws and i are numb 
Negative,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
Negative,"@makeupblogger yay! thats good to hear, i've been breaking out like crazy lately  and i have no clue why!"
Negative,"Daisy the chicken is feeling poorly, given her some meds, hopefully she will pick up "
Negative,is sad the weekend is over. 
Negative,Hanging out with the whole crew and sending off Our friends who leave for Houston in two days  
Negative,just got back from a crazy four wheeling adventure. last night in texas. heading home tomorrow.  text me.
Negative,got an exam today 
Negative,my job sucks.. 
Negative,Please someone keep me posted on who wins Best Featured actress in a Musical...I have a 32&quot; flat screen dual DVD player with no cable! 
Negative,Tummy wummy  Spirit Fangs show at the Glasshouse in Pomona tonight. U guys should go
Negative,@iancantdecide Cheater ka eh. 
Negative,I was soooo excited to see that Taco Bell brought back the 89 cent chicken soft taco until I saw that the meat was grayish-green. 
Negative,I hate nightmares!!!! 
Negative,Im so sad the day is over  i wish that weddings lasted for one week lol
Negative,@hailat oh. i didnt realise you were talking about Kahlil when you said poet and eulogy. I just read it btw. 
Negative,i deleted my Guild Wars builds!!everyone who plays or played Gw knows that this is f*ckin WORST case!! 
Negative,Laptop charger broken :@ Hopefully comet will have some in stock - otherwise I'll have to wait weeks 
Negative,@witnessamiracle Me too  Haven't bought any of it yet. Maybe next week ;)
Negative,I'm going to attempt to combat my OCD. I HAVE to stop. 
Negative,I'm an AUNT ... again. this time to a little baby boy!!! And I cant see him until next week 
Negative,"Bah, no one to Skype. "
Negative,didn't end up going karaoke tonight. i'm sad 
Negative,I don't think people even read my tweets 
Negative,Damn it. I hate this stage of the breakup process. I miss the boy.  We had just fallen in love. DAMN IT. WHY???!!!  Poop.
Negative,Back to school 
Negative,worked all day again lmao!! my feet hurt 
Negative,@30SECONDSTOMARS THE BOARDS ARE DOWN..... 
Negative,Just another manic monday...ugh 
Negative,@MyInnerRedd I know!  
Negative,"@sky14kemea http://en.wikipedia.org/wiki/Haemophilia It's bloody annoying sometimes. I'm bult to play rugby, but I can't "
Negative,gumbo= love and alirenco has boy issues 
Negative,@pfrigerio oh really? I hope not. 
Negative,"@_Chelsea_Marie nothing, im getting tired. too early  you?"
Negative,@geishadoll i think i had a copy of that song but idk where it is 
Negative,I wish I could be in LA for Lauren's Book Launch 
Negative,They're sending my girl crush home on SYTYCD.... 
Negative,@cattvong omg... i can't be happy???? D: that's horrible 
Negative,"@feedstitch noooooooooo, I appreciate that sort; I need this function; I want an inverse feed; please, create that function "
Negative,@AkashaTheKitty Hahah you aren't the only one o.o I wish at times to just go out in trackies. But.. 
Negative,"Feeling melancholy, don't know y I was just fine all day till now "
Negative,@MzLdy2U people change and alot of the time it isnt always for the better 
Negative,Off to bed. Work in the morning. Its gonna be a long day. Ughhh 
Negative,missing my family... :'( come back from china soon guys.. please 
Negative,@rehmxo nahhman i swear you are .. i dont feel sick but i look sick its not good 
Negative,@go4music Sooo sunny! Typical that the weather gets nice just as my holidays finish 
Negative,my twit of a mother has left her car roof open at luton airport so i have to drive over there and close it now.. booo 
Negative,@roelsn   We made such an effort to delivery quality on time...
Negative,"@Errricuh I'd only get one, if I even get one. I think I'd look horrible with millions of lip piercings "
Negative,"Megan loved dress, but in the end wanted jersey. Bummer b/c DK is queen of jersey, but the looks were tied up w/ Milan sales   oh well..."
Negative,@iambitty I wasn't able to stick my head out bcoz the window had a net over it. 
Negative,@geekgrrl Doh! Too late. His scores are unreal! Guessing he's not actually playing like most of us areâprobably scripted. 
Negative,"what i am to you, i want to be more....tired of playing around "
Negative,@mozdad shops are shut 
Negative,@vette2004 good deal..was trying to do an all raw foods diet..I don't know if I'm gonna make it..much harder than I thought 
Negative,"y do i even bother getting a new fone..i just fucking break them anyway,,,fones dont float,,especially when thrown in the pool "
Negative,Starting to flag on train down and haven't even got to London yet 
Negative,Tweet4Today: &quot;Have a limbo party while you are still supple enough to get under that bar&quot; .... Still??? 
Negative,My sould is being destroyed today by the tedious work I have to do  Will have something new and shiny to show you all tonight though!
Negative,for the love of RAAAY J .. neck RELLE hurts. jeeezelaweeeze 
Negative,@mitchelmusso Hey congrats!!! It's not out yet in Indonesia 
Negative,Goodbye Twitterland. Going to revise 
Negative,"Just woken up, I haven't slept for over 9 hours in MONTHS, this feels so good! Great escape comedown though "
Negative,I am sad today because I had to tell some ofo my staff they are not coming back next year! 
Negative,@angelafarts4u it's fucked. same thing happened with a friend's sidekick. the phone is fucked. assuredly. 
Negative,@tititititit ouch! stiff neck. 
Negative,@iFollowMike ugh I'm not doin too good 
Negative,feelinjg sick as fuck :/ ahhhhhh i want soup 
Negative,@geekyMary I've had my sushi ruined by uninvited wasabi - is that kind of like what's happened with your poor lunch? 
Negative,I feel like I am nothing but just a THING !!  
Negative,And I hate it I'm running out of battery! 
Negative,@gabek i think the compass will only be available for the iphone 3Gs 
Negative,Happy birthday @robmademedothis and I hope everyone is having a better day then me. 
Negative,@RickHincks I'm a Volkswagen CC. I wanted to be an old beetle 
Negative,@MsHalfway I want to go back to school too *sigh* - but I am too poor 
Negative,Damage done. Sigh. You win this time Twitter 
Negative,"@dougiemcfly that's great, dougie! cuz i really missed you yesterday in the meeting here in Rio  but it's ok, i understand !"
Negative,http://www.autosport.com/news/report.php/id/76292 F1 Champion will be splited up 
Negative,ugh....so full! If I were only at home so I can go to sleep 
Negative,@salleegal I can't! I'm only 20! 
Negative,@thornandes 18-21 june. Mmm.. 
Negative,@1stLadyEL i cant reply back 
Negative,finally got him up. he sounds so sleepy 
Negative,is leaving Rock Eagle 
Negative,@glencocco how do these tumblr points work? it's annoying as hell 
Negative,derry losing in the semi final 
Negative,"well, im not going to see the composure/cavashawn tomorrow  but every one else should!"
Negative,"Mini-update in China: I caught a 104*F fever, thus was in the hospital for 3 days.  "
Negative,@DontBeASkeptik let me know what happens I gotta go Monday 
Negative,my cell phone might turn off cuz I can't afford $40 
Negative,taking the hp trivia on facebook again  then later im making a list of what to do during my last week of summer 
Negative,"sick, left the window open "
Negative,is freaking out because theres a moth in my room  whers chuck norris when u need him 
Negative,ate to much. my tummy's hurting again now 
Negative,"i cannot believe i locked my keys in the car AGAIN      btw, a hanger doesn't work..."
Negative,Why is Lotus Notes so crap? Why is AVG playing havoc with Thunderbird? Why does WebSphere heapdump to the point of exhausting disk space? 
Negative,"@DebraWard Canadian, Coors Light and MGD. I thought there would at least be something there that I liked. "
Negative,@ItzCecile i dont remember 
Negative,@tinydeww aww i'm sorry to hear that. I was like that yesterday.  *hugs*
Negative,"@RedVampire Me niether, but at least Miss isnt walking around..... only one more lesson left "
Negative,@Cadistra the second kind  the worst~ let me see if I can find some tea.
Negative,19 pages of transcript to analyse  Nearly finished coding!
Negative,"@godfatherobie arg, just bought a PSP3000, where do my UMDs go? "
Negative,I admit it I'm the biggest chicken alive  thought i could handle a little thriller
Negative,i want ice cream 
Negative,Absofricken beautiful outside. Just want to take a walk but finals next week... 
Negative, single and not sure shes ready to mingle
